det_Sigma,Odds
1.00E-07,0.486871822
0.001001101,1.747961409
0.002002102,1.865434936
0.003003103,1.934802808
0.004004104,1.984259263
0.005005105,2.022738063
0.006006105,2.054244298
0.007007106,2.08092403
0.008008107,2.104062628
0.009009108,2.12449142
0.010010109,2.142779286
0.01101111,2.159332739
0.012012111,2.17445241
0.013013112,2.188366915
0.014014113,2.201254176
0.015015114,2.213255389
0.016016114,2.224484488
0.017017115,2.235034743
0.018018116,2.244983477
0.019019117,2.254395507
0.020020118,2.263325702
0.021021119,2.271820923
0.02202212,2.279921511
0.023023121,2.28766244
0.024024122,2.295074231
0.025025123,2.302183678
0.026026123,2.30901443
0.027027124,2.315587466
0.028028125,2.32192148
0.029029126,2.328033205
0.030030127,2.333937675
0.031031128,2.33964845
0.032032129,2.345177801
0.03303313,2.350536868
0.034034131,2.355735796
0.035035132,2.36078385
0.036036132,2.365689514
0.037037133,2.370460575
0.038038134,2.3751042
0.039039135,2.379626996
0.040040136,2.384035073
0.041041137,2.388334085
0.042042138,2.392529282
0.043043139,2.396625541
0.04404414,2.400627405
0.045045141,2.40453911
0.046046141,2.408364616
0.047047142,2.412107623
0.048048143,2.415771603
0.049049144,2.41935981
0.050050145,2.422875303
0.051051146,2.426320959
0.052052147,2.429699486
0.053053148,2.433013441
0.054054149,2.436265235
0.05505515,2.439457147
0.05605615,2.442591333
0.057057151,2.445669836
0.058058152,2.448694591
0.059059153,2.451667434
0.060060154,2.45459011
0.061061155,2.457464276
0.062062156,2.460291509
0.063063157,2.46307331
0.064064158,2.465811109
0.065065159,2.468506271
0.066066159,2.471160096
0.06706716,2.473773828
0.068068161,2.476348655
0.069069162,2.478885712
0.070070163,2.481386086
0.071071164,2.483850817
0.072072165,2.486280903
0.073073166,2.488677299
0.074074167,2.491040922
0.075075168,2.493372651
0.076076168,2.495673332
0.077077169,2.497943777
0.07807817,2.500184766
0.079079171,2.502397049
0.080080172,2.504581349
0.081081173,2.506738362
0.082082174,2.508868756
0.083083175,2.510973179
0.084084176,2.513052251
0.085085177,2.515106573
0.086086177,2.517136725
0.087087178,2.519143265
0.088088179,2.521126734
0.08908918,2.523087653
0.090090181,2.525026526
0.091091182,2.526943841
0.092092183,2.528840069
0.093093184,2.530715667
0.094094185,2.532571075
0.095095186,2.534406723
0.096096186,2.536223023
0.097097187,2.538020378
0.098098188,2.539799176
0.099099189,2.541559793
0.10010019,2.543302597
0.101101191,2.545027942
0.102102192,2.546736171
0.103103193,2.54842762
0.104104194,2.550102612
0.105105195,2.551761464
0.106106195,2.553404482
0.107107196,2.555031962
0.108108197,2.556644195
0.109109198,2.558241461
0.110110199,2.559824036
0.1111112,2.561392184
0.112112201,2.562946164
0.113113202,2.56448623
0.114114203,2.566012626
0.115115204,2.567525592
0.116116205,2.569025359
0.117117205,2.570512157
0.118118206,2.571986204
0.119119207,2.573447717
0.120120208,2.574896906
0.121121209,2.576333976
0.12212221,2.577759126
0.123123211,2.579172551
0.124124212,2.580574442
0.125125213,2.581964984
0.126126214,2.583344358
0.127127214,2.58471274
0.128128215,2.586070305
0.129129216,2.58741722
0.130130217,2.588753649
0.131131218,2.590079755
0.132132219,2.591395694
0.13313322,2.59270162
0.134134221,2.593997683
0.135135222,2.59528403
0.136136223,2.596560805
0.137137223,2.597828148
0.138138224,2.599086196
0.139139225,2.600335085
0.140140226,2.601574945
0.141141227,2.602805906
0.142142228,2.604028093
0.143143229,2.60524163
0.14414423,2.606446638
0.145145231,2.607643234
0.146146232,2.608831535
0.147147232,2.610011654
0.148148233,2.611183703
0.149149234,2.612347789
0.150150235,2.613504021
0.151151236,2.614652502
0.152152237,2.615793335
0.153153238,2.61692662
0.154154239,2.618052457
0.15515524,2.619170941
0.156156241,2.620282167
0.157157241,2.621386229
0.158158242,2.622483218
0.159159243,2.623573222
0.160160244,2.624656331
0.161161245,2.625732629
0.162162246,2.626802201
0.163163247,2.627865131
0.164164248,2.6289215
0.165165249,2.629971387
0.16616625,2.631014871
0.16716725,2.63205203
0.168168251,2.633082939
0.169169252,2.634107672
0.170170253,2.635126302
0.171171254,2.636138902
0.172172255,2.637145541
0.173173256,2.638146289
0.174174257,2.639141214
0.175175258,2.640130383
0.176176259,2.641113862
0.177177259,2.642091715
0.17817826,2.643064005
0.179179261,2.644030796
0.180180262,2.644992148
0.181181263,2.645948123
0.182182264,2.646898779
0.183183265,2.647844175
0.184184266,2.648784368
0.185185267,2.649719415
0.186186268,2.650649372
0.187187268,2.651574293
0.188188269,2.652494233
0.18918927,2.653409243
0.190190271,2.654319377
0.191191272,2.655224685
0.192192273,2.656125218
0.193193274,2.657021027
0.194194275,2.657912159
0.195195276,2.658798663
0.196196277,2.659680586
0.197197277,2.660557976
0.198198278,2.661430879
0.199199279,2.662299339
0.20020028,2.663163401
0.201201281,2.664023109
0.202202282,2.664878507
0.203203283,2.665729638
0.204204284,2.666576542
0.205205285,2.667419263
0.206206286,2.66825784
0.207207286,2.669092314
0.208208287,2.669922725
0.209209288,2.670749111
0.210210289,2.671571511
0.21121129,2.672389964
0.212212291,2.673204506
0.213213292,2.674015175
0.214214293,2.674822006
0.215215294,2.675625036
0.216216295,2.6764243
0.217217295,2.677219834
0.218218296,2.678011671
0.219219297,2.678799845
0.220220298,2.67958439
0.221221299,2.680365339
0.2222223,2.681142724
0.223223301,2.681916578
0.224224302,2.682686932
0.225225303,2.683453817
0.226226304,2.684217265
0.227227305,2.684977306
0.228228305,2.68573397
0.229229306,2.686487286
0.230230307,2.687237284
0.231231308,2.687983992
0.232232309,2.68872744
0.23323331,2.689467655
0.234234311,2.690204665
0.235235312,2.690938498
0.236236313,2.69166918
0.237237314,2.692396738
0.238238314,2.6931212
0.239239315,2.693842589
0.240240316,2.694560934
0.241241317,2.695276258
0.242242318,2.695988587
0.243243319,2.696697946
0.24424432,2.697404359
0.245245321,2.698107851
0.246246322,2.698808445
0.247247323,2.699506164
0.248248323,2.700201033
0.249249324,2.700893074
0.250250325,2.70158231
0.251251326,2.702268763
0.252252327,2.702952456
0.253253328,2.703633411
0.254254329,2.704311648
0.25525533,2.70498719
0.256256331,2.705660059
0.257257332,2.706330273
0.258258332,2.706997856
0.259259333,2.707662826
0.260260334,2.708325204
0.261261335,2.70898501
0.262262336,2.709642263
0.263263337,2.710296985
0.264264338,2.710949192
0.265265339,2.711598905
0.26626634,2.712246143
0.267267341,2.712890924
0.268268341,2.713533266
0.269269342,2.714173188
0.270270343,2.714810708
0.271271344,2.715445844
0.272272345,2.716078612
0.273273346,2.716709032
0.274274347,2.717337119
0.275275348,2.717962892
0.276276349,2.718586366
0.27727735,2.719207558
0.27827835,2.719826486
0.279279351,2.720443165
0.280280352,2.721057612
0.281281353,2.721669842
0.282282354,2.722279871
0.283283355,2.722887715
0.284284356,2.723493389
0.285285357,2.72409691
0.286286358,2.724698291
0.287287359,2.725297548
0.288288359,2.725894695
0.28928936,2.726489748
0.290290361,2.727082721
0.291291362,2.727673628
0.292292363,2.728262483
0.293293364,2.728849301
0.294294365,2.729434095
0.295295366,2.73001688
0.296296367,2.730597668
0.297297368,2.731176474
0.298298368,2.731753311
0.299299369,2.732328192
0.30030037,2.73290113
0.301301371,2.733472138
0.302302372,2.734041229
0.303303373,2.734608416
0.304304374,2.735173711
0.305305375,2.735737126
0.306306376,2.736298675
0.307307377,2.73685837
0.308308377,2.737416222
0.309309378,2.737972243
0.310310379,2.738526445
0.31131138,2.739078841
0.312312381,2.739629441
0.313313382,2.740178258
