d,KL,beta0.05,beta0.2,beta0.25
5.326633166,0.679886091,0.361334144,0.186594169,0.029510976
5.376884422,0.690952188,0.363273554,0.18509145,0.028436106
5.427135678,0.702048743,0.36512155,0.1835237,0.027393533
5.477386935,0.713173457,0.366877659,0.181893282,0.026383291
5.527638191,0.724324,0.36854146,0.180202595,0.025405331
5.577889447,0.735498012,0.370112584,0.178454074,0.024459527
5.628140704,0.746693106,0.371590708,0.176650181,0.023545678
5.67839196,0.757906859,0.372975564,0.174793404,0.022663518
5.728643216,0.769136819,0.37426693,0.172886251,0.02181272
5.778894472,0.780380498,0.375464634,0.170931245,0.020992898
5.829145729,0.791635374,0.376568554,0.168930925,0.020203619
5.879396985,0.802898886,0.377578617,0.166887833,0.019444399
5.929648241,0.814168439,0.378494797,0.16480452,0.018714718
5.979899497,0.825441395,0.379317119,0.162683531,0.018014015
6.030150754,0.836715076,0.380045652,0.160527411,0.017341698
6.08040201,0.847986761,0.380680518,0.158338695,0.016697149
6.130653266,0.859253685,0.381221881,0.156119904,0.016079724
6.180904523,0.870513037,0.381669957,0.153873545,0.015488757
6.231155779,0.881761959,0.382025005,0.151602104,0.014923568
6.281407035,0.892997541,0.382287334,0.149308042,0.014383462
6.331658291,0.904216826,0.382457298,0.146993795,0.013867732
6.381909548,0.915416802,0.382535296,0.144661767,0.013375667
6.432160804,0.926594407,0.382521775,0.142314328,0.012906547
6.48241206,0.937746521,0.382417225,0.13995381,0.012459651
6.532663317,0.948869971,0.382222183,0.137582508,0.012034258
6.582914573,0.959961528,0.381937231,0.13520267,0.011629647
6.633165829,0.971017907,0.381562993,0.1328165,0.011245102
6.683417085,0.982035767,0.38110014,0.130426154,0.010879911
6.733668342,0.993011709,0.380549384,0.128033738,0.010533368
6.783919598,1.003942284,0.379911483,0.125641303,0.010204777
6.834170854,1.014823985,0.379187235,0.123250846,0.009893449
6.884422111,1.025653256,0.378377482,0.120864308,0.009598705
6.934673367,1.036426489,0.377483107,0.118483571,0.009319879
6.984924623,1.047140032,0.376505035,0.116110457,0.009056315
7.035175879,1.057790188,0.375444232,0.113746726,0.008807371
7.085427136,1.068373223,0.374301702,0.111394076,0.008572417
7.135678392,1.078885368,0.373078492,0.109054143,0.008350839
7.185929648,1.089322825,0.371775684,0.106728496,0.008142035
7.236180905,1.099681773,0.370394403,0.10441864,0.00794542
7.286432161,1.109958378,0.368935806,0.102126017,0.007760423
7.336683417,1.120148797,0.367401092,0.099852,0.007586489
7.386934673,1.130249186,0.365791493,0.097597897,0.00742308
7.43718593,1.140255711,0.364108277,0.095364951,0.007269673
7.487437186,1.150164559,0.362352746,0.093154339,0.007125762
7.537688442,1.159971943,0.360526236,0.090967171,0.006990857
7.587939698,1.169674116,0.358630116,0.088804494,0.006864485
7.638190955,1.179267383,0.356665786,0.086667289,0.006746192
7.688442211,1.188748109,0.354634675,0.084556474,0.006635536
7.738693467,1.198112735,0.352538245,0.082472903,0.006532098
7.788944724,1.207357784,0.350377982,0.080417369,0.00643547
7.83919598,1.21647988,0.348155404,0.078390602,0.006345264
7.889447236,1.225475754,0.345872052,0.076393273,0.006261109
7.939698492,1.23434226,0.343529492,0.074425995,0.006182647
7.989949749,1.243076385,0.341129314,0.072489322,0.00610954
8.040201005,1.251675258,0.338673132,0.070583751,0.006041464
8.090452261,1.260136167,0.336162579,0.068709725,0.00597811
8.140703518,1.268456562,0.333599309,0.066867634,0.005919185
8.190954774,1.276634069,0.330984992,0.065057814,0.005864411
8.24120603,1.2846665,0.328321318,0.063280552,0.005813523
8.291457286,1.292551857,0.32560999,0.061536086,0.005766273
8.341708543,1.30028834,0.322852726,0.059824607,0.005722422
8.391959799,1.307874359,0.320051258,0.058146259,0.005681749
8.442211055,1.315308529,0.317207325,0.056501143,0.005644042
8.492462312,1.322589682,0.314322678,0.054889318,0.005609103
8.542713568,1.329716868,0.311399077,0.053310802,0.005576744
8.592964824,1.336689355,0.308438286,0.051765574,0.005546789
8.64321608,1.343506629,0.305442074,0.050253575,0.005519073
8.693467337,1.350168397,0.302412215,0.048774713,0.00549344
8.743718593,1.356674583,0.299350481,0.04732886,0.005469745
8.793969849,1.363025324,0.296258648,0.045915857,0.005447852
8.844221106,1.369220969,0.293138487,0.044535514,0.005427631
8.894472362,1.375262072,0.289991768,0.043187611,0.005408965
8.944723618,1.381149387,0.286820255,0.041871905,0.00539174
8.994974874,1.386883862,0.283625706,0.040588122,0.005375853
9.045226131,1.39246663,0.28040987,0.039335968,0.005361205
9.095477387,1.397899003,0.277174487,0.038115124,0.005347705
9.145728643,1.403182462,0.273921288,0.036925253,0.00533527
9.195979899,1.408318649,0.270651988,0.035765995,0.005323819
9.246231156,1.413309354,0.267368289,0.034636975,0.005313279
9.296482412,1.41815651,0.26407188,0.033537799,0.005303581
9.346733668,1.422862181,0.26076443,0.03246806,0.005294662
9.396984925,1.427428548,0.257447591,0.031427334,0.005286462
9.447236181,1.431857904,0.254122995,0.030415187,0.005278927
9.497487437,1.436152641,0.250792254,0.029431173,0.005272005
9.547738693,1.44031524,0.247456957,0.028474835,0.005265648
9.59798995,1.444348258,0.244118669,0.027545707,0.005259814
9.648241206,1.448254324,0.240778932,0.026643316,0.005254461
9.698492462,1.452036124,0.237439262,0.025767181,0.00524955
9.748743719,1.455696393,0.234101146,0.024916814,0.005245049
9.798994975,1.459237906,0.230766047,0.024091726,0.005240923
9.849246231,1.462663468,0.227435397,0.02329142,0.005237143
9.899497487,1.46597591,0.224110598,0.022515398,0.005233681
9.949748744,1.469178073,0.220793022,0.021763158,0.005230511
10,1.472272809,0.217484011,0.0210342,0.005227611
